date,matchup,home_team,is_dome,temp_f,wind_mph,wind_dir,wind_score,humidity,pressure_hpa,park_factor,current_pct,physics_pct,park_pct,hrs_hit,total_batters,hr_rate
2026-04-08,SEA@TEX,TEX,False,,,,0.0,,,91.0,0.0,0.0,-9.0,0,18,0.0
2026-04-08,LAD@TOR,TOR,True,,,,0.0,,,109.0,0.0,0.0,9.0,0,18,0.0
2026-04-08,HOU@COL,COL,False,72.6,11.5,327,-9.6,15,841.0,115.0,-11.34,47.81,15.0,1,18,0.05555555555555555
2026-04-08,PHI@SF,SF,False,66.7,4.9,270,4.9,68,1016.3,75.0,6.28,16.11,-25.0,1,18,0.05555555555555555
2026-04-08,STL@WSH,WSH,False,54.1,6.3,96,-2.6,20,1032.7,91.0,-3.48,-11.52,-9.0,1,18,0.05555555555555555
2026-04-08,ATL@LAA,LAA,False,77.0,7.0,239,6.8,55,1008.2,111.0,9.66,28.75,11.0,2,18,0.1111111111111111
2026-04-08,AZ@NYM,NYM,False,49.0,4.8,146,2.1,29,1034.6,105.0,0.12,-3.42,5.0,0,18,0.0
2026-04-08,CHC@TB,TB,True,71.0,14.2,37,0.0,80,1016.5,95.0,0.0,0.0,-5.0,1,22,0.045454545454545456
2026-04-08,CIN@MIA,MIA,False,75.5,5.8,106,-5.6,76,1015.0,91.0,-4.87,4.39,-9.0,3,18,0.16666666666666666
2026-04-08,ATH@NYY,NYY,False,40.7,9.6,149,-2.6,48,1036.0,117.0,-8.84,-19.5,17.0,0,18,0.0
2026-04-08,DET@MIN,MIN,False,50.8,11.1,280,10.9,42,981.6,100.0,11.4,30.58,0.0,0,22,0.0
2026-04-09,CIN@MIA,MIA,False,73.8,10.2,40,0.0,86,1017.9,91.0,1.84,-15.76,-9.0,1,18,0.05555555555555555
2026-04-09,ATH@NYY,NYY,False,50.1,9.8,156,-1.5,57,1034.8,117.0,-3.76,-12.21,17.0,0,18,0.0
2026-04-09,DET@MIN,MIN,False,44.0,6.2,296,5.6,53,989.9,100.0,2.32,12.25,0.0,1,18,0.05555555555555555
2026-04-09,AZ@NYM,NYM,False,44.0,8.7,140,3.0,68,1030.7,105.0,-0.4,-1.66,5.0,1,18,0.05555555555555555
2026-04-09,CWS@KC,KC,False,77.7,13.8,203,12.8,36,985.6,90.0,17.07,48.86,-10.0,0,18,0.0
2026-04-09,COL@SD,SD,False,,,,0.0,,,100.0,0.0,0.0,0.0,2,18,0.1111111111111111
2026-04-10,PIT@CHC,CHC,False,48.8,7.5,348,-5.6,86,1002.4,95.0,-7.9,-14.58,-5.0,1,18,0.05555555555555555
2026-04-10,AZ@PHI,PHI,False,69.7,9.2,186,9.1,39,1021.1,115.0,10.92,25.93,15.0,1,18,0.05555555555555555
2026-04-10,MIA@DET,DET,False,49.5,6.5,326,6.5,81,1002.2,102.0,6.65,14.48,2.0,1,18,0.05555555555555555
2026-04-10,LAA@CIN,CIN,False,72.7,10.8,257,7.9,47,1002.8,116.0,9.69,20.92,16.0,4,18,0.2222222222222222
2026-04-10,MIN@TOR,TOR,True,43.4,1.9,291,0.0,93,1011.5,109.0,0.0,0.0,9.0,4,18,0.2222222222222222
2026-04-10,ATH@NYM,NYM,False,48.0,12.0,158,7.4,71,1020.9,105.0,6.63,13.19,5.0,0,18,0.0
2026-04-10,NYY@TB,TB,True,79.1,8.9,53,0.0,44,1018.9,95.0,0.0,0.0,-5.0,1,18,0.05555555555555555
2026-04-10,SF@BAL,BAL,False,64.1,5.5,145,2.3,55,1019.5,110.0,2.76,7.09,10.0,3,18,0.16666666666666666
2026-04-10,CLE@ATL,ATL,False,75.4,4.0,286,3.5,24,987.2,95.0,5.22,17.65,-5.0,4,18,0.2222222222222222
2026-04-10,CWS@KC,KC,False,53.1,8.3,54,-8.2,93,993.0,90.0,-8.95,-16.04,-10.0,1,18,0.05555555555555555
2026-04-10,WSH@MIL,MIL,False,41.4,5.6,85,0.0,81,1003.5,104.0,-4.39,-15.6,4.0,1,18,0.05555555555555555
2026-04-10,BOS@STL,STL,False,63.6,9.4,359,-4.6,64,1007.7,78.0,-5.32,-7.61,-22.0,0,18,0.0
2026-04-10,COL@SD,SD,False,,,,0.0,,,100.0,0.0,0.0,0.0,2,18,0.1111111111111111
2026-04-10,HOU@SEA,SEA,False,62.8,1.7,50,0.0,64,1004.8,94.0,0.2,1.24,-6.0,2,18,0.1111111111111111
2026-04-10,TEX@LAD,LAD,False,61.2,8.6,260,5.5,85,994.2,137.0,7.85,17.8,37.0,5,18,0.2777777777777778
2026-04-11,AZ@PHI,PHI,False,62.9,12.2,319,-6.8,41,1024.9,115.0,-8.16,-22.16,15.0,3,18,0.16666666666666666
2026-04-11,MIA@DET,DET,False,49.7,6.1,82,-2.3,49,1010.2,102.0,-4.88,-8.6,2.0,1,18,0.05555555555555555
2026-04-11,PIT@CHC,CHC,False,47.8,7.2,88,-3.8,79,1006.7,95.0,-6.49,-12.03,-5.0,0,18,0.0
2026-04-11,MIN@TOR,TOR,True,52.1,1.5,243,0.0,46,1019.8,109.0,0.0,0.0,9.0,4,18,0.2222222222222222
2026-04-11,LAA@CIN,CIN,False,66.4,4.4,75,-3.1,44,1007.8,116.0,-3.72,1.55,16.0,1,18,0.05555555555555555
2026-04-11,ATH@NYM,NYM,False,63.8,13.7,308,-1.9,29,1022.4,105.0,-2.28,-6.74,5.0,5,18,0.2777777777777778
2026-04-11,CWS@KC,KC,False,74.3,8.9,155,3.0,68,987.7,90.0,4.69,24.06,-10.0,1,18,0.05555555555555555
2026-04-11,NYY@TB,TB,True,80.3,9.1,62,0.0,30,1018.8,95.0,0.0,0.0,-5.0,1,18,0.05555555555555555
2026-04-11,WSH@MIL,MIL,False,47.3,7.8,129,0.0,63,1001.3,104.0,-2.93,-4.0,4.0,1,18,0.05555555555555555
2026-04-11,SF@BAL,BAL,False,67.0,5.6,337,-3.4,25,1023.2,110.0,-4.08,-5.72,10.0,2,18,0.1111111111111111
2026-04-11,BOS@STL,STL,False,70.9,8.1,166,2.2,67,1004.9,78.0,2.99,16.73,-22.0,1,18,0.05555555555555555
